100, 0, 404
101, 0, 404
102, 284, 120
103, 404, 0
104, 404, 0
105, 403, 1
106, 404, 0
107, 403, 1
110, 0, 404
111, 404, 0
112, 404, 0
113, 403, 1
114, 404, 0
115, 403, 1
116, 404, 0
117, 403, 1
120, 0, 404
121, 404, 0
122, 403, 1
123, 404, 0
124, 404, 0
125, 403, 1
126, 403, 1
127, 403, 1
130, 0, 404
131, 404, 0
132, 404, 0
133, 404, 0
134, 404, 0
135, 402, 2
136, 403, 1
137, 404, 0
140, 0, 404
141, 403, 1
142, 401, 3
143, 404, 0
144, 404, 0
145, 403, 1
146, 404, 0
147, 0, 404
150, 0, 404
151, 404, 0
152, 404, 0
153, 404, 0
154, 404, 0
155, 404, 0
156, 404, 0
157, 404, 0
160, 0, 404
161, 403, 1
162, 404, 0
163, 404, 0
164, 404, 0
165, 403, 1
166, 403, 1
167, 236, 168
170, 0, 404
171, 403, 1
172, 392, 12
173, 403, 1
174, 404, 0
175, 403, 1
176, 404, 0
177, 402, 2
200, 404, 0
201, 404, 0
202, 403, 1
203, 403, 1
204, 403, 1
205, 404, 0
206, 0, 404
207, 404, 0
210, 404, 0
211, 402, 2
212, 402, 2
213, 402, 2
214, 403, 1
215, 402, 2
216, 0, 404
217, 404, 0
220, 404, 0
221, 401, 3
222, 402, 2
223, 400, 4
224, 403, 1
225, 403, 1
226, 0, 404
227, 403, 1
230, 404, 0
231, 402, 2
232, 401, 3
233, 402, 2
234, 403, 1
235, 401, 3
236, 0, 404
237, 402, 2
240, 404, 0
241, 401, 3
242, 401, 3
243, 399, 5
244, 403, 1
245, 402, 2
246, 0, 404
247, 404, 0
250, 403, 1
251, 400, 4
252, 401, 3
253, 402, 2
254, 404, 0
255, 401, 3
256, 0, 404
257, 403, 1
260, 403, 1
261, 400, 4
262, 402, 2
263, 398, 6
264, 404, 0
265, 402, 2
266, 0, 404
267, 401, 3
270, 400, 4
271, 403, 1
272, 402, 2
273, 0, 404
274, 404, 0
275, 401, 3
276, 0, 404
277, 402, 2
